Annual mileage mi,,,Regular round trip range mi required by the user.  Ecar range is same /0.6 to allow 80-20% charge state for required range to maximise battery longevity.,,Range design to give range with 80-20% charge cycling to maximise life,Ecar Archetype Index,Ecar design Range mi,,,"Check Ecar suitable 1=Yes, 0=No",Total Ecar + charger up front cost,,Archetype Ecar Efficiency mi/kWh,Archetype Ecar Battery kWh,Regularly utilised Ecar Battery kWh,Regularly utilised % of full battery capacity (should be <=60%),Typical home chargup time hrs for utilised capacity,Typical home charging time at night rate hrs,Typical home charging time at day rate hrs,home charging night rate kWh,home charging day rate kWh,public charging kWh,home charging night rate fraction,home charging day rate fraction,public top up charging fraction,aggregate charging electricity cost p/kWh,aggregate charging electricity cost p/mi,Annual elec cost £,Total elec costs over assessment period £,total mileage over assessed time period,Max car mileage,No of car replacements over assessment period,Total E Car replacement cost £,Total loan interest on initial Ecar and charger and replacement Ecars £,Est Ecar annual servicing cost low £,Est Ecar annual servicing cost med £,Est Ecar annual servicing cost high £,Est annual servicing cost Ecar,Est total servicing cost Ecar,Total Ecar cost  £,Assumed alternative petrol car  up front cost,,Assumed alternative petrol car consumption mpg,Petrol cost p/mi,Annual petrol cost £,Total petrol costs over assessment period £,Total petrol car replacements costs £,Total loan interest on initial and replacement petrol cars £,,Est petrol car annual servicing cost low £,Est petrol car annual servicing cost med £,Est petrol car annual servicing cost high £,Est annual servicing cost petrol car,Est total servicing cost petrol car,Total Petrol car cost  £,Est annual servicing cost saving elec v petrol £,Total maintenance saving over assessment period £,Total 8 year new electric vs new petrol car cost saving with home charger + public top up where necessary £,,,,
" 12,500 ",,,60.0,,100,8,285.831,,,1," £25,124 ",,3.221,90.08,18.63,21%, -   , -   , -   , -   , -   , 18.63 , -   , -   , 1.0 , 51.00 , 15.83 ,"£1,979"," £7,916 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £37,196 "," £20,099 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £32,897 ",£458,"£1,832","-£4,298.5 ",-572.5088823,"-£3,726.0 ",,
" 12,500 ",,,60.0,,100,9,312.628,,,1," £26,150 ",,3.196,98.87,18.77,19%, -   , -   , -   , -   , -   , 18.77 , -   , -   , 1.0 , 51.00 , 15.96 ,"£1,995"," £7,979 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £38,285 "," £20,920 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £33,718 ",£458,"£1,832","-£4,566.9 ",-833.7920818,"-£3,733.1 ",,
" 12,500 ",,,75.0,,125,2,137.479,,,1," £10,219 ",,3.392,41.13,22.11,54%, -   , -   , -   , -   , -   , 22.11 , -   , -   , 1.0 , 51.00 , 15.03 ,"£1,879"," £7,517 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £21,893 "," £8,176 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £20,974 ",£458,"£1,832",-£919.0 ,3089.171585,"-£4,008.1 ",,
" 12,500 ",,,75.0,,125,3,163.110,,,1," £10,221 ",,3.602,45.42,20.82,46%, -   , -   , -   , -   , -   , 20.82 , -   , -   , 1.0 , 51.00 , 14.16 ,"£1,770"," £7,079 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £21,455 "," £8,177 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £20,975 ",£458,"£1,832",-£480.7 ,3200.727813,"-£3,681.4 ",,
" 12,500 ",,,75.0,,125,4,188.871,,,1," £13,619 ",,3.388,57.85,22.14,38%, -   , -   , -   , -   , -   , 22.14 , -   , -   , 1.0 , 51.00 , 15.05 ,"£1,882"," £7,527 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £25,302 "," £10,895 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £23,693 ",£458,"£1,832","-£1,609.2 ",2274.572616,"-£3,883.8 ",,
" 12,500 ",,,75.0,,125,5,213.698,,,1," £15,092 ",,3.313,65.24,22.64,35%, -   , -   , -   , -   , -   , 22.64 , -   , -   , 1.0 , 51.00 , 15.40 ,"£1,924"," £7,698 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £26,945 "," £12,073 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £24,871 ",£458,"£1,832","-£2,074.1 ",1879.327633,"-£3,953.4 ",,
" 12,500 ",,,75.0,,125,6,239.128,,,1," £17,581 ",,3.327,72.38,22.54,31%, -   , -   , -   , -   , -   , 22.54 , -   , -   , 1.0 , 51.00 , 15.33 ,"£1,916"," £7,665 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £29,402 "," £14,065 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £26,863 ",£458,"£1,832","-£2,538.9 ",1293.196848,"-£3,832.1 ",,
" 12,500 ",,,75.0,,125,7,262.616,,,1," £21,881 ",,3.235,81.64,23.18,28%, -   , -   , -   , -   , -   , 23.18 , -   , -   , 1.0 , 51.00 , 15.76 ,"£1,971"," £7,882 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £33,919 "," £17,505 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £30,303 ",£458,"£1,832","-£3,616.5 ",210.6306329,"-£3,827.1 ",,
" 12,500 ",,,75.0,,125,8,285.831,,,1," £25,124 ",,3.221,90.08,23.28,26%, -   , -   , -   , -   , -   , 23.28 , -   , -   , 1.0 , 51.00 , 15.83 ,"£1,979"," £7,916 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £37,196 "," £20,099 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £32,897 ",£458,"£1,832","-£4,298.5 ",-572.5088823,"-£3,726.0 ",,
" 12,500 ",,,75.0,,125,9,312.628,,,1," £26,150 ",,3.196,98.87,23.47,24%, -   , -   , -   , -   , -   , 23.47 , -   , -   , 1.0 , 51.00 , 15.96 ,"£1,995"," £7,979 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £38,285 "," £20,920 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £33,718 ",£458,"£1,832","-£4,566.9 ",-833.7920818,"-£3,733.1 ",,
" 12,500 ",,,90.0,,150,3,163.110,,,1," £10,221 ",,3.602,45.42,24.98,55%, -   , -   , -   , -   , -   , 24.98 , -   , -   , 1.0 , 51.00 , 14.16 ,"£1,770"," £7,079 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £21,455 "," £8,177 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £20,975 ",£458,"£1,832",-£480.7 ,3200.727813,"-£3,681.4 ",,
" 12,500 ",,,90.0,,150,4,188.871,,,1," £13,619 ",,3.388,57.85,26.57,46%, -   , -   , -   , -   , -   , 26.57 , -   , -   , 1.0 , 51.00 , 15.05 ,"£1,882"," £7,527 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £25,302 "," £10,895 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £23,693 ",£458,"£1,832","-£1,609.2 ",2274.572616,"-£3,883.8 ",,
" 12,500 ",,,90.0,,150,5,213.698,,,1," £15,092 ",,3.313,65.24,27.17,42%, -   , -   , -   , -   , -   , 27.17 , -   , -   , 1.0 , 51.00 , 15.40 ,"£1,924"," £7,698 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £26,945 "," £12,073 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £24,871 ",£458,"£1,832","-£2,074.1 ",1879.327633,"-£3,953.4 ",,
" 12,500 ",,,90.0,,150,6,239.128,,,1," £17,581 ",,3.327,72.38,27.05,37%, -   , -   , -   , -   , -   , 27.05 , -   , -   , 1.0 , 51.00 , 15.33 ,"£1,916"," £7,665 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £29,402 "," £14,065 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £26,863 ",£458,"£1,832","-£2,538.9 ",1293.196848,"-£3,832.1 ",,
" 12,500 ",,,90.0,,150,7,262.616,,,1," £21,881 ",,3.235,81.64,27.82,34%, -   , -   , -   , -   , -   , 27.82 , -   , -   , 1.0 , 51.00 , 15.76 ,"£1,971"," £7,882 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £33,919 "," £17,505 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £30,303 ",£458,"£1,832","-£3,616.5 ",210.6306329,"-£3,827.1 ",,
" 12,500 ",,,90.0,,150,8,285.831,,,1," £25,124 ",,3.221,90.08,27.94,31%, -   , -   , -   , -   , -   , 27.94 , -   , -   , 1.0 , 51.00 , 15.83 ,"£1,979"," £7,916 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £37,196 "," £20,099 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £32,897 ",£458,"£1,832","-£4,298.5 ",-572.5088823,"-£3,726.0 ",,
" 12,500 ",,,90.0,,150,9,312.628,,,1," £26,150 ",,3.196,98.87,28.16,28%, -   , -   , -   , -   , -   , 28.16 , -   , -   , 1.0 , 51.00 , 15.96 ,"£1,995"," £7,979 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £38,285 "," £20,920 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £33,718 ",£458,"£1,832","-£4,566.9 ",-833.7920818,"-£3,733.1 ",,
" 12,500 ",,,105.0,,175,4,188.871,,,1," £13,619 ",,3.388,57.85,31.00,54%, -   , -   , -   , -   , -   , 31.00 , -   , -   , 1.0 , 51.00 , 15.05 ,"£1,882"," £7,527 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £25,302 "," £10,895 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £23,693 ",£458,"£1,832","-£1,609.2 ",2274.572616,"-£3,883.8 ",,
" 12,500 ",,,105.0,,175,5,213.698,,,1," £15,092 ",,3.313,65.24,31.70,49%, -   , -   , -   , -   , -   , 31.70 , -   , -   , 1.0 , 51.00 , 15.40 ,"£1,924"," £7,698 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £26,945 "," £12,073 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £24,871 ",£458,"£1,832","-£2,074.1 ",1879.327633,"-£3,953.4 ",,
" 12,500 ",,,105.0,,175,6,239.128,,,1," £17,581 ",,3.327,72.38,31.56,44%, -   , -   , -   , -   , -   , 31.56 , -   , -   , 1.0 , 51.00 , 15.33 ,"£1,916"," £7,665 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £29,402 "," £14,065 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £26,863 ",£458,"£1,832","-£2,538.9 ",1293.196848,"-£3,832.1 ",,
" 12,500 ",,,105.0,,175,7,262.616,,,1," £21,881 ",,3.235,81.64,32.46,40%, -   , -   , -   , -   , -   , 32.46 , -   , -   , 1.0 , 51.00 , 15.76 ,"£1,971"," £7,882 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £33,919 "," £17,505 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £30,303 ",£458,"£1,832","-£3,616.5 ",210.6306329,"-£3,827.1 ",,
" 12,500 ",,,105.0,,175,8,285.831,,,1," £25,124 ",,3.221,90.08,32.59,36%, -   , -   , -   , -   , -   , 32.59 , -   , -   , 1.0 , 51.00 , 15.83 ,"£1,979"," £7,916 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £37,196 "," £20,099 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £32,897 ",£458,"£1,832","-£4,298.5 ",-572.5088823,"-£3,726.0 ",,
" 12,500 ",,,105.0,,175,9,312.628,,,1," £26,150 ",,3.196,98.87,32.85,33%, -   , -   , -   , -   , -   , 32.85 , -   , -   , 1.0 , 51.00 , 15.96 ,"£1,995"," £7,979 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £38,285 "," £20,920 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £33,718 ",£458,"£1,832","-£4,566.9 ",-833.7920818,"-£3,733.1 ",,
" 12,500 ",,,120.0,,200,5,213.698,,,1," £15,092 ",,3.313,65.24,36.22,56%, -   , -   , -   , -   , -   , 36.22 , -   , -   , 1.0 , 51.00 , 15.40 ,"£1,924"," £7,698 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £26,945 "," £12,073 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £24,871 ",£458,"£1,832","-£2,074.1 ",1879.327633,"-£3,953.4 ",,
" 12,500 ",,,120.0,,200,6,239.128,,,1," £17,581 ",,3.327,72.38,36.07,50%, -   , -   , -   , -   , -   , 36.07 , -   , -   , 1.0 , 51.00 , 15.33 ,"£1,916"," £7,665 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £29,402 "," £14,065 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £26,863 ",£458,"£1,832","-£2,538.9 ",1293.196848,"-£3,832.1 ",,
" 12,500 ",,,120.0,,200,7,262.616,,,1," £21,881 ",,3.235,81.64,37.09,45%, -   , -   , -   , -   , -   , 37.09 , -   , -   , 1.0 , 51.00 , 15.76 ,"£1,971"," £7,882 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £33,919 "," £17,505 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £30,303 ",£458,"£1,832","-£3,616.5 ",210.6306329,"-£3,827.1 ",,
" 12,500 ",,,120.0,,200,8,285.831,,,1," £25,124 ",,3.221,90.08,37.25,41%, -   , -   , -   , -   , -   , 37.25 , -   , -   , 1.0 , 51.00 , 15.83 ,"£1,979"," £7,916 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £37,196 "," £20,099 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £32,897 ",£458,"£1,832","-£4,298.5 ",-572.5088823,"-£3,726.0 ",,
" 12,500 ",,,120.0,,200,9,312.628,,,1," £26,150 ",,3.196,98.87,37.55,38%, -   , -   , -   , -   , -   , 37.55 , -   , -   , 1.0 , 51.00 , 15.96 ,"£1,995"," £7,979 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £38,285 "," £20,920 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £33,718 ",£458,"£1,832","-£4,566.9 ",-833.7920818,"-£3,733.1 ",,
" 12,500 ",,,135.0,,225,6,239.128,,,1," £17,581 ",,3.327,72.38,40.58,56%, -   , -   , -   , -   , -   , 40.58 , -   , -   , 1.0 , 51.00 , 15.33 ,"£1,916"," £7,665 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £29,402 "," £14,065 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £26,863 ",£458,"£1,832","-£2,538.9 ",1293.196848,"-£3,832.1 ",,
" 12,500 ",,,135.0,,225,7,262.616,,,1," £21,881 ",,3.235,81.64,41.73,51%, -   , -   , -   , -   , -   , 41.73 , -   , -   , 1.0 , 51.00 , 15.76 ,"£1,971"," £7,882 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £33,919 "," £17,505 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £30,303 ",£458,"£1,832","-£3,616.5 ",210.6306329,"-£3,827.1 ",,
" 12,500 ",,,135.0,,225,8,285.831,,,1," £25,124 ",,3.221,90.08,41.91,47%, -   , -   , -   , -   , -   , 41.91 , -   , -   , 1.0 , 51.00 , 15.83 ,"£1,979"," £7,916 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £37,196 "," £20,099 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £32,897 ",£458,"£1,832","-£4,298.5 ",-572.5088823,"-£3,726.0 ",,
" 12,500 ",,,135.0,,225,9,312.628,,,1," £26,150 ",,3.196,98.87,42.24,43%, -   , -   , -   , -   , -   , 42.24 , -   , -   , 1.0 , 51.00 , 15.96 ,"£1,995"," £7,979 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £38,285 "," £20,920 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £33,718 ",£458,"£1,832","-£4,566.9 ",-833.7920818,"-£3,733.1 ",,
" 12,500 ",,,150.0,,250,7,262.616,,,1," £21,881 ",,3.235,81.64,46.37,57%, -   , -   , -   , -   , -   , 46.37 , -   , -   , 1.0 , 51.00 , 15.76 ,"£1,971"," £7,882 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £33,919 "," £17,505 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £30,303 ",£458,"£1,832","-£3,616.5 ",210.6306329,"-£3,827.1 ",,
" 12,500 ",,,150.0,,250,8,285.831,,,1," £25,124 ",,3.221,90.08,46.56,52%, -   , -   , -   , -   , -   , 46.56 , -   , -   , 1.0 , 51.00 , 15.83 ,"£1,979"," £7,916 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £37,196 "," £20,099 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £32,897 ",£458,"£1,832","-£4,298.5 ",-572.5088823,"-£3,726.0 ",,
" 12,500 ",,,150.0,,250,9,312.628,,,1," £26,150 ",,3.196,98.87,46.93,47%, -   , -   , -   , -   , -   , 46.93 , -   , -   , 1.0 , 51.00 , 15.96 ,"£1,995"," £7,979 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £38,285 "," £20,920 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £33,718 ",£458,"£1,832","-£4,566.9 ",-833.7920818,"-£3,733.1 ",,
" 12,500 ",,,165.0,,275,8,285.831,,,1," £25,124 ",,3.221,90.08,51.22,57%, -   , -   , -   , -   , -   , 51.22 , -   , -   , 1.0 , 51.00 , 15.83 ,"£1,979"," £7,916 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £37,196 "," £20,099 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £32,897 ",£458,"£1,832","-£4,298.5 ",-695.252784,"-£3,603.3 ",,
" 12,500 ",,,165.0,,275,9,312.628,,,1," £26,150 ",,3.196,98.87,51.63,52%, -   , -   , -   , -   , -   , 51.63 , -   , -   , 1.0 , 51.00 , 15.96 ,"£1,995"," £7,979 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £38,285 "," £20,920 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £33,718 ",£458,"£1,832","-£4,566.9 ",-979.0981706,"-£3,587.8 ",,
" 12,500 ",,,180.0,,300,9,312.628,,,1," £26,150 ",,3.196,98.87,56.32,57%, -   , -   , -   , -   , -   , 56.32 , -   , -   , 1.0 , 51.00 , 15.96 ,"£1,995"," £7,979 "," 50,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £38,285 "," £20,920 ",,50.000, 13.62 ,"£1,703"," £6,810 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £33,718 ",£458,"£1,832","-£4,566.9 ",-1204.918878,"-£3,362.0 ",,
" 15,000 ",,,60.0,,100,1,113.857,,,1," £12,901 ",,2.782,42.25,21.57,51%, -   , -   , -   , -   , -   , 21.57 , -   , -   , 1.0 , 51.00 , 18.33 ,"£2,750"," £10,998 "," 60,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £28,055 "," £10,321 ",,50.000, 13.62 ,"£2,043"," £8,172 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £24,481 ",£458,"£1,832","-£3,574.6 ",2922.640827,"-£6,497.2 ",,
" 15,000 ",,,60.0,,100,2,137.479,,,1," £10,219 ",,3.392,41.13,17.69,43%, -   , -   , -   , -   , -   , 17.69 , -   , -   , 1.0 , 51.00 , 15.03 ,"£2,255"," £9,020 "," 60,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £23,396 "," £8,176 ",,50.000, 13.62 ,"£2,043"," £8,172 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £22,336 ",£458,"£1,832","-£1,060.4 ",4067.653097,"-£5,128.0 ",,
" 15,000 ",,,60.0,,100,3,163.110,,,1," £10,221 ",,3.602,45.42,16.66,37%, -   , -   , -   , -   , -   , 16.66 , -   , -   , 1.0 , 51.00 , 14.16 ,"£2,124"," £8,494 "," 60,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £22,871 "," £8,177 ",,50.000, 13.62 ,"£2,043"," £8,172 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £22,337 ",£458,"£1,832",-£534.4 ,4201.583169,"-£4,736.0 ",,
" 15,000 ",,,60.0,,100,4,188.871,,,1," £13,619 ",,3.388,57.85,17.71,31%, -   , -   , -   , -   , -   , 17.71 , -   , -   , 1.0 , 51.00 , 15.05 ,"£2,258"," £9,033 "," 60,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £26,808 "," £10,895 ",,50.000, 13.62 ,"£2,043"," £8,172 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £25,055 ",£458,"£1,832","-£1,752.7 ",3252.526114,"-£5,005.2 ",,
" 15,000 ",,,60.0,,100,5,213.698,,,1," £15,092 ",,3.313,65.24,18.11,28%, -   , -   , -   , -   , -   , 18.11 , -   , -   , 1.0 , 51.00 , 15.40 ,"£2,309"," £9,237 "," 60,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £28,485 "," £12,073 ",,50.000, 13.62 ,"£2,043"," £8,172 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £26,233 ",£458,"£1,832","-£2,251.6 ",2848.593121,"-£5,100.2 ",,
" 15,000 ",,,60.0,,100,6,239.128,,,1," £17,581 ",,3.327,72.38,18.03,25%, -   , -   , -   , -   , -   , 18.03 , -   , -   , 1.0 , 51.00 , 15.33 ,"£2,299"," £9,198 "," 60,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £30,935 "," £14,065 ",,50.000, 13.62 ,"£2,043"," £8,172 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £28,225 ",£458,"£1,832","-£2,709.9 ",2264.143213,"-£4,974.0 ",,
